prime_days,loot_collected,day_stream_hr,evennig_stream_hr,night_stream_hr,bits_donated,cs_contacts,churn,prime_student,used_sub,day_sessions,evennig_sessions,night_sessions,follows
111,0,214.3,208.5,182.4,12,1,0,0,0,118,76,98,2
74,35,154.1,123.4,202.1,10.9,2,0,0,1,104,84,57,9
128,0,237.9,247.6,208.9,13.9,1,1,0,0,125,93,68,4
82,0,143.9,194.9,109.6,11.1,1,0,0,0,61,105,94,2
155,0,203.4,190.9,196,8.9,0,1,0,0,100,104,119,4
80,0,124.3,173,253.2,7.9,1,0,0,0,100,107,62,9
78,0,252.9,178.4,263.9,9.5,3,0,0,0,93,112,105,7
90,0,179.1,190.6,127.7,10.6,3,0,0,0,71,81,91,7
104,0,278.4,81,163.2,9.8,1,0,0,0,106,113,137,5
73,0,160.1,213.3,174.1,13,0,0,0,0,110,72,72,4
99,0,198.2,207.3,190.9,8.7,4,0,0,0,87,76,113,3
120,0,212.1,209.4,167.2,5.3,1,1,0,0,131,104,96,5
77,0,251.8,205.7,275.2,9.8,2,1,0,0,72,126,109,7
98,21,161.2,252.2,160.2,4.4,4,0,0,1,114,83,92,8
108,0,178.3,189,129.1,14.6,0,0,0,0,137,76,102,5
135,0,151.7,119,180,10.5,0,0,0,0,82,105,100,6
95,0,135,183.6,245.3,12.5,1,0,0,0,99,106,102,9
122,0,170.5,173.7,248.6,11.3,1,0,0,0,94,109,75,2
95,0,238.1,187.2,190,11.8,4,0,0,0,65,98,115,4
36,29,281.4,202.2,187.2,9,2,0,0,1,102,76,113,6
93,21,117.9,164.5,217,9.8,1,0,0,1,131,115,86,3
141,32,148.6,131.1,219.4,10.1,1,0,0,1,91,97,142,1
157,0,229.8,147.9,241.4,9.6,3,0,0,0,90,121,108,7
120,0,165,317.2,119.2,8.3,1,0,0,0,100,83,86,8
103,0,185,223.3,222.8,12.6,2,0,0,0,117,94,91,2
98,0,161,190.9,227.7,12.1,4,0,0,0,117,113,113,4
125,0,126.7,206,247.8,13.3,1,0,0,0,108,90,114,7
63,0,58.9,169.6,211.4,9.4,1,0,0,0,125,59,88,3
36,42,196.8,254.9,138.3,20,0,1,1,1,89,122,126,6
64,0,162.6,152.3,57.5,14.2,1,0,0,0,83,109,122,3
74,0,282.5,219.9,170,9.4,1,1,0,0,114,48,115,4
112,36,113.7,157.5,177.6,10,2,0,0,1,117,82,118,3
97,0,239.8,214.8,143.3,8.7,2,0,0,0,125,111,81,5
46,0,210.2,227.3,200.1,13.1,1,0,0,0,92,77,116,7
41,22,213.8,141.8,142.2,7.2,0,0,0,1,102,86,123,3
121,0,190.7,183.5,220.8,9.8,3,0,0,0,103,117,103,4
193,0,170.9,132.3,112.9,11.6,1,0,0,0,124,95,89,3
130,0,154.2,110.2,227.4,9.2,2,0,0,0,119,98,117,5
85,0,201.4,229.4,252.5,12,1,0,0,0,52,104,106,3
162,0,70.7,157.5,154.8,9.1,4,1,0,0,108,87,82,3
61,27,187.5,146.6,225.7,6.4,4,1,0,1,124,103,129,6
92,0,91.7,193.7,175,9.2,2,0,0,0,90,123,86,4
131,36,214.2,161.7,264.7,9.5,3,0,0,1,115,117,102,4
90,0,145.5,217.7,146.9,10.9,3,0,0,0,92,114,123,2
75,0,166.3,158.2,256.7,6.1,1,0,0,0,125,86,80,5
78,0,231,230.4,261.4,9.5,1,0,0,0,115,140,120,3
82,0,200.3,201.2,206.1,7.1,4,0,0,0,96,102,60,1
163,0,197,202.6,206.4,9.1,1,0,0,0,109,128,80,10
91,0,129.9,173.3,247.2,11.2,3,0,1,0,112,83,130,3
75,21,175.8,217.5,237.5,5.3,5,0,0,1,97,106,134,4
91,0,203.1,210.1,195.6,12,3,0,0,0,106,113,129,3
127,36,183.2,126.8,263.3,11.2,1,0,0,1,117,76,71,8
113,23,205,152,158.6,10.2,2,0,0,1,101,60,59,5
110,0,148.5,276.4,193.6,12.4,1,0,0,0,115,84,112,3
120,39,200.3,220.4,253.8,10.5,0,0,0,1,68,97,116,4
157,28,192.6,195.5,109.7,6.8,3,0,0,1,107,74,139,5
103,0,246.5,195.5,200.5,11.7,1,0,0,0,47,84,96,4
117,0,167.1,177.5,249.4,14.1,2,1,1,0,86,87,132,7
140,0,231.9,160.1,110.4,14.3,3,0,0,0,101,94,98,6
127,0,146.7,203.5,203.4,13.7,1,0,0,0,91,78,110,3
83,0,271.5,216.3,121.1,11.7,1,0,1,0,87,126,105,4
121,0,181.5,218.4,161.6,8.5,1,0,0,0,121,98,103,5
145,43,257.7,162.1,286.9,11.1,2,0,0,1,97,95,86,4
113,0,193.8,221.4,172.3,10.6,1,0,0,0,99,125,67,6
117,0,102.8,206.7,299,10.1,1,0,0,0,119,91,105,7
65,0,187.9,157.6,227.3,7.5,1,0,0,0,116,117,86,6
56,0,226,248.5,140.5,6.9,1,0,0,0,112,118,142,11
96,0,260.4,146,269.5,11.5,5,0,0,0,115,46,87,4
151,0,178.7,292.1,265.9,9.8,0,0,0,0,116,138,101,4
83,0,337.4,227.4,153.9,15.8,0,1,0,0,120,116,114,7
139,23,157.6,247,259.2,13.7,0,0,0,1,129,96,112,2
6,0,183.6,256.7,178.6,10.2,1,0,0,0,117,72,79,2
115,24,142.1,183.4,164.8,9.6,1,0,0,1,124,129,114,4
87,0,136.3,172.2,137.5,7.1,0,0,0,0,97,108,101,5
141,0,217.1,241.5,253.5,12,0,0,0,0,110,111,103,6
141,36,187.5,241.4,229.5,10.5,3,0,0,1,99,116,105,5
62,0,98.9,135.4,236.6,12.2,1,0,0,0,103,122,82,1
146,0,206.3,148.6,167.2,6.1,1,0,0,0,151,89,91,3
92,33,243.1,213.8,228.7,12.1,2,0,0,1,92,92,104,2
185,31,189.8,163.3,264.8,7.5,1,0,0,1,126,133,126,3
148,0,202,243.2,261.3,10.9,1,0,0,0,102,128,90,3
94,38,170.1,193.3,105.9,12.8,1,0,0,1,124,116,73,4
32,0,230.9,187.4,154,6.3,0,0,0,0,87,90,53,2
68,0,237.1,223.5,97.4,13.2,1,0,0,0,105,105,79,2
64,27,182.1,169.7,164.7,10.6,2,0,0,1,91,98,86,5
25,0,119.3,211.5,268.9,10.5,3,0,0,0,87,101,86,4
65,0,116.8,178.9,182.4,14.1,1,0,0,0,87,93,150,2
179,0,219.2,149.4,244.7,6.1,0,0,0,0,92,125,104,5
94,0,252.6,169,170.9,11.1,2,0,0,0,104,125,106,7
62,0,147.1,190.4,195.2,12.2,0,0,0,0,91,107,115,3
127,0,202.1,229.4,195.2,11.5,2,0,0,0,103,86,113,3
116,0,173.5,194.1,208,16.2,3,0,0,0,93,76,112,10
70,0,232.1,292.3,201.2,0,3,0,0,0,122,112,112,0
94,23,197.1,214.5,282.2,9.5,4,0,1,1,125,136,103,5
126,0,58.2,138.7,136.8,11.9,5,1,0,0,94,118,91,1
67,36,115.6,237.7,169.9,9.9,2,0,0,1,111,94,103,12
19,0,186.1,254.3,214,14.6,2,0,0,0,98,57,127,7
170,0,259.9,245,134.4,8.4,3,0,1,0,68,122,121,3
73,0,214.3,268.5,241.2,10.8,1,0,0,0,145,135,92,13
106,0,158.7,64.3,198.5,10.2,1,0,0,0,74,139,103,4
93,0,271.6,229.4,77.3,10.9,2,0,0,0,71,108,121,3
164,0,160.6,163.2,187.1,9,1,0,0,0,111,126,112,3
51,0,232.4,187.4,231.2,9.1,1,0,0,0,109,95,107,3
107,0,133.8,180.5,112.2,8.9,0,0,0,0,85,94,115,4
130,0,176.9,90.7,238,9.5,1,0,0,0,109,104,69,2
80,0,209.9,195.1,208.2,8.8,2,0,0,0,74,77,119,4
94,0,137.5,203.2,150,13.4,0,0,0,0,118,88,131,2
118,23,289.5,166.6,119.1,9.5,1,0,0,1,52,111,88,4
117,23,198.1,177,180.5,6.8,1,0,0,1,86,86,92,6
78,0,149.7,182.2,261.5,9.7,0,0,0,0,119,115,126,8
208,0,326.5,176.3,181.7,10.7,2,1,0,0,67,113,102,6
131,26,292.9,199.7,255.3,13.8,4,1,1,1,101,97,127,7
63,0,83,177,245.7,13,0,0,0,0,64,106,89,3
53,24,145.7,220.5,249.9,13.1,3,0,0,1,146,136,96,5
62,0,182.3,328.2,245,11.2,2,0,0,0,101,93,131,1
97,0,218,184,240.5,6.4,3,0,0,0,86,94,110,8
105,0,140.6,178.6,217,6.8,2,0,0,0,109,51,83,3
157,0,152.7,257.5,198.1,9.4,1,0,0,0,105,80,93,4
66,36,106.7,209.8,190.4,12.1,1,0,0,1,76,77,117,2
122,0,243.8,83.9,179.8,13.7,2,0,0,0,98,72,84,8
38,0,194.4,186.7,223.3,10.8,3,0,0,0,94,95,90,5
106,0,213.9,151.9,260.1,12.2,3,0,0,0,95,70,124,5
99,0,217.2,246.7,226.1,15.8,3,0,0,0,112,89,89,7
99,0,241.1,155.6,188.2,11.6,1,0,0,0,72,98,109,10
144,0,203.5,247.6,194.3,11.9,0,0,1,0,100,103,94,11
82,24,155.2,244.5,122.4,10.7,1,0,0,1,131,106,68,3
86,31,167.6,113,246.9,12.2,1,0,0,1,139,118,121,6
70,0,226.7,228.1,73.2,17.6,2,1,1,0,98,115,93,4
93,0,179.3,178.6,225.2,11.5,3,0,0,0,93,98,131,6
93,0,151.4,186.4,172.5,10.9,0,0,0,0,89,76,120,3
120,0,180,224.2,265.4,4.7,3,0,0,0,80,82,91,7
136,0,250.2,267.1,151,13,1,1,0,0,121,118,114,2
106,0,223,110.1,188.7,7.1,0,0,0,0,121,98,107,12
81,0,183.6,152.6,212.2,12.2,3,0,0,0,116,98,99,6
127,22,166,174.5,244.9,10.2,1,0,0,1,114,103,68,6
65,0,136.1,272.9,220.2,4.4,1,0,0,0,112,96,104,2
35,0,149.3,242.2,174.3,8.9,2,0,0,0,113,122,104,6
88,0,65.4,168.2,236,13.8,2,0,0,0,97,76,113,1
65,0,213.4,234.5,250.1,2.7,1,0,0,0,111,94,123,4
123,0,206.9,244.7,221.5,7.7,3,0,0,0,85,78,136,2
126,27,186.2,189.6,76.5,9.6,2,0,0,1,78,83,139,3
104,23,280.2,220.5,136.9,13.3,4,0,0,1,136,92,102,3
45,22,196.6,313.2,163.3,11.9,0,0,0,1,84,92,108,3
93,0,312,129.4,217.6,10.5,0,1,1,0,109,100,74,2
63,36,199,291.3,197.6,11,1,0,1,1,110,111,92,6
100,0,203.1,217,180.9,13.5,3,0,0,0,96,126,122,2
53,0,168.8,220.3,154.3,10.9,0,0,0,0,97,87,113,2
92,0,173.1,240.3,233.2,9,1,0,1,0,140,105,117,5
139,0,134.4,211.3,193.6,10.2,5,1,0,0,106,98,125,2
110,40,202.6,118.8,234.9,9,2,0,0,1,103,128,98,9
110,0,74.5,200.8,192.2,9.8,3,0,0,0,117,98,101,7
215,0,83.6,120.9,226.6,10.7,0,0,0,0,148,91,110,9
73,0,192.2,168.6,139.8,9.4,1,0,0,0,86,116,87,6
138,0,220.2,88.3,195.3,12.9,0,0,0,0,89,125,79,5
137,0,135.1,134.1,223.1,12.3,2,1,1,0,95,102,81,2
36,0,253.4,182.4,275.8,8.4,1,0,0,0,77,151,103,2
85,0,225,176.9,194.3,7.1,3,0,0,0,81,63,110,2
108,0,198.5,267.8,354.9,9.4,0,1,0,0,99,60,75,3
22,0,110.3,166.5,202.3,9.5,0,0,0,0,107,93,96,5
107,37,60,102.2,261.8,11.1,0,0,0,1,102,80,106,3
51,0,214.8,149.7,283.4,10.2,0,0,0,0,94,58,66,5
94,0,181.8,202.4,245.9,9.2,4,0,0,0,85,98,97,2
119,23,154,278,228.4,11.8,2,0,0,1,114,137,112,4
33,29,157.4,117.9,279.2,13.9,4,1,0,1,99,80,79,11
106,0,207.9,172,191.8,14.4,4,0,0,0,91,109,143,7
82,0,207,232.9,172.4,9.1,3,0,0,0,90,83,108,8
86,41,119,230,236.9,9.5,0,0,0,1,101,134,58,3
97,0,143.7,273,178.3,10.9,0,0,1,0,117,82,81,3
106,32,165.9,216.5,173.1,14.1,4,0,0,1,126,93,86,8
108,0,138.6,172.3,231.6,9.8,1,0,0,0,122,117,92,3
114,0,84.7,249.9,193.4,14.5,1,0,0,0,118,86,95,8
92,0,62.6,180.6,221.7,10.4,1,1,1,0,111,126,80,2
59,0,155.2,235.3,169.4,8.7,1,0,0,0,79,123,80,4
24,25,164.9,209.3,231.2,6.7,1,0,0,1,110,105,55,9
151,0,134.5,143.1,223.9,15.4,1,0,0,0,88,112,61,1
117,0,143.3,211.3,185.2,11.5,1,0,0,0,103,108,96,3
78,0,168.3,221.2,241,12.5,1,0,0,0,110,73,136,1
155,0,262.4,194.6,146.5,8.3,2,0,0,0,55,113,85,6
114,30,206.2,260,291.6,11.4,1,0,0,1,79,91,83,6
114,28,225.8,193,232.4,8.4,4,0,0,1,94,117,100,9
119,0,138.3,170.5,263.9,13.5,3,0,0,0,89,78,98,6
64,48,94.4,136.2,147.4,4.5,0,0,0,1,104,101,89,4
118,0,160,175.4,184.8,9.9,2,0,1,0,123,96,99,3
101,0,206.6,224.9,249.9,14.6,0,0,0,0,105,117,100,3
117,0,134.7,180,200.9,7.7,1,0,0,0,121,83,104,3
49,28,214.4,235.2,206.2,8,3,0,0,1,78,100,107,13
139,0,192.8,234.4,203.2,13,3,0,0,0,104,96,101,3
92,28,151.1,194.8,239.2,10,1,0,0,1,90,79,114,3
83,0,221.4,231.8,122.5,9.8,3,0,0,0,103,103,100,5
148,0,218.9,208,203.3,11.1,0,0,1,0,88,85,99,4
144,48,189.8,123.4,214.2,6.5,2,1,0,1,96,67,106,2
131,25,192.7,225.9,254.2,10.9,2,0,0,1,85,105,59,6
146,0,204.4,219.1,222.7,10.5,3,0,1,0,135,90,114,6
143,0,172.3,174,188.2,13,2,0,0,0,97,108,119,4
81,0,198.4,210.9,193.3,10.4,2,0,0,0,93,108,71,6
48,37,211.7,159.9,144.1,12.2,1,0,0,1,115,84,80,1
86,28,221.6,288.4,240.3,9,1,0,0,1,74,100,105,2
71,0,197.9,181.5,281.4,6.7,3,0,0,0,108,109,56,5
145,24,147.5,175.7,252.1,15.6,2,0,0,1,90,108,102,3
137,0,206.4,128,194.5,8.8,2,0,0,0,122,102,84,5
137,0,205.9,209.3,289.9,14.5,2,0,0,0,88,86,84,4
167,0,207.6,132.4,255.2,14.1,0,0,0,0,88,63,98,5
89,0,303.9,260.9,312.1,5.3,1,1,0,0,95,114,89,3
199,34,230.6,219.4,299.3,8,0,0,0,1,121,99,94,2
132,0,99.5,129.1,125.1,9.7,0,0,0,0,110,80,124,3
94,0,177.1,194,146.7,5.9,1,0,0,0,112,112,108,4
96,37,172.7,120.1,216.1,10.3,5,1,0,1,93,116,86,5
96,18,172.7,133.4,259.5,9.8,1,0,0,1,86,113,70,3
166,0,204.2,179.9,216.8,9.5,1,0,0,0,115,152,109,5
74,0,85.7,247.7,142.4,10.1,2,0,0,0,83,67,85,5
36,0,157.6,184.3,240.4,11.9,0,0,0,0,117,58,99,1
113,0,215.5,218.7,207.1,6.6,4,0,0,0,129,117,91,9
94,0,181.5,199.9,287.7,6.6,1,0,0,0,98,88,114,5
67,0,171.7,110.4,195.4,11.9,2,0,0,0,80,81,111,4
127,0,266.6,264.8,207.2,5.9,1,1,0,0,106,168,119,2
121,0,170.4,350.5,297,11.2,0,1,0,0,108,68,87,3
158,0,158,292.5,241.1,9.1,1,0,0,0,106,114,89,4
136,0,92,253.6,214.1,10.3,1,0,0,0,117,77,90,10
196,0,234,249.5,173.1,9.1,2,0,0,0,109,114,70,5
113,0,272.1,268.5,213.8,8.5,1,1,0,0,111,118,105,10
122,0,296.4,214.8,133.9,11.4,4,1,0,0,99,89,107,3
112,0,194.4,190.3,183.4,11.4,0,0,0,0,101,82,107,2
209,0,227.2,258.4,183.5,8.9,3,0,0,0,128,92,74,4
62,0,248.7,220,265.7,13.2,1,1,0,0,109,118,78,2
110,38,236.3,195.9,183.5,9.7,1,0,0,1,102,112,82,6
16,0,205.6,169.5,220.1,10.9,0,0,0,0,69,93,64,3
73,0,94.1,280.3,205,9.8,0,0,0,0,136,122,77,4
128,0,125.2,205.4,254.4,18.9,0,0,0,0,99,107,111,2
39,0,60.4,306.2,123.9,12.4,1,0,0,0,158,120,46,3
103,28,121,270.4,160.5,7.7,2,0,0,1,105,100,76,4
119,29,117.8,256.8,147.6,7.6,3,0,0,1,66,114,76,3
173,21,232.4,211.9,273,5,3,0,0,1,96,118,102,5
128,32,223.5,188.8,154.9,9.4,2,1,1,1,81,74,101,2
86,0,176.3,259.2,287.4,6.2,0,0,0,0,79,97,78,3
114,32,125.2,177.8,232.4,12.9,1,0,0,1,79,105,89,3
104,0,138.7,256.9,234.9,10,0,0,0,0,107,113,74,3
148,0,86.3,246.6,251.6,11.3,1,0,0,0,134,92,91,4
129,0,207,154.9,245.1,13.4,3,0,0,0,91,121,112,5
100,30,58.8,219.5,152.3,7.1,0,0,0,1,104,107,118,3
121,35,68.7,209.2,197.4,11.4,1,0,0,1,95,69,42,4
143,33,239.2,235.5,156.3,9.5,1,0,0,1,109,112,95,4
76,0,198.3,217.1,188.4,12.5,0,0,0,0,130,86,96,3
158,0,205.2,240.6,79.7,14.4,0,0,0,0,97,77,108,12
116,0,192.1,312.9,130.2,7.9,3,0,0,0,98,135,94,2
54,0,272.6,248.7,197.4,9.5,1,1,0,0,83,74,111,2
86,0,128.3,197.1,138.4,12.2,7,1,0,0,121,93,152,5
108,0,169.6,264.1,206.3,9.3,0,0,0,0,99,87,78,4
66,0,201.3,152.8,233.2,7.5,1,0,0,0,95,66,101,4
151,17,214.7,138.5,169.1,8.6,1,0,0,1,97,90,44,4
99,0,169.2,271.5,170.2,10.6,0,0,0,0,70,77,104,2
55,0,194.1,176.6,302.8,7,2,0,0,0,121,110,136,7
77,0,233.8,266.5,212.7,7.6,2,0,0,0,104,94,104,3
78,0,225.1,199.2,175.5,14.6,0,0,0,0,67,127,102,2
89,0,213,176.6,262.6,9.1,1,1,0,0,63,71,126,1
101,0,183.9,255.9,275,10.8,1,0,0,0,115,101,145,11
44,34,221.8,161.7,227.7,14,0,0,0,1,105,85,62,7
98,21,64.6,176.1,244.8,0,2,0,0,1,98,86,84,0
64,37,154.6,83.4,165.9,13.3,1,0,0,1,92,103,99,3
141,0,260.2,179.2,135,7.2,3,0,0,0,131,120,119,8
81,33,161.6,123,261.3,12.2,1,0,0,1,117,90,101,5
162,0,220.6,155.2,186.7,10.5,1,0,0,0,117,121,89,11
83,41,155.9,162.3,127.6,13.1,3,0,0,1,122,107,105,5
100,0,107,105.7,243.1,12.8,4,1,0,0,63,67,74,3
59,0,182.5,204.7,229.9,11.3,4,0,0,0,104,95,100,8
179,38,220.1,234.3,237.3,10.1,4,0,1,1,78,71,85,4
79,0,152.2,177.2,96.4,5.3,1,0,0,0,112,132,87,3
117,0,181.5,205.1,204,14.7,2,0,0,0,95,88,82,9
64,0,236.2,218.6,194.1,13.2,2,1,1,0,77,85,97,2
31,0,166.1,79.3,213.7,12.7,1,0,0,0,105,93,98,2
124,0,244.6,188.8,206,11.3,1,0,1,0,89,80,114,4
122,23,134.2,227.3,122.4,8.5,2,0,0,1,85,132,96,2
37,39,149.7,211.1,114.3,9.2,1,0,1,1,122,75,90,4
90,29,150.1,264.7,178.4,5.8,1,0,0,1,109,103,97,4
159,0,257.1,312.2,183,8.8,1,1,1,0,53,127,82,6
148,0,124.4,179.7,253,11.3,0,0,0,0,83,81,99,6
39,36,141.7,232.3,222.1,12,1,0,0,1,121,113,131,5
77,0,230,103.2,309.6,11.3,2,0,0,0,87,138,136,3
194,0,162.3,213.7,192.1,10.9,0,0,0,0,88,118,81,2
154,0,350.8,216.5,253.9,10.1,1,1,0,0,75,94,100,9
112,0,193.3,264.1,128.6,9.1,4,0,0,0,96,123,115,3
45,0,78.2,253.4,255,18,1,0,0,0,127,108,100,3
132,0,83.4,232.2,146.7,7.6,1,0,0,0,110,137,114,5
128,0,195.6,267.8,164.9,16,0,0,0,0,99,120,76,2
135,0,201.8,225,204.4,10.3,1,0,0,0,81,114,82,6
56,0,197,222.8,225.3,10.6,2,0,0,0,110,102,91,6
151,0,218,114.4,269.2,12.4,0,1,1,0,57,88,95,1
32,0,164.8,229.9,167.3,14.8,2,0,0,0,98,96,108,2
90,0,179.2,210.7,276.9,9.2,2,0,0,0,77,99,58,6
87,21,214,180,134.5,10.6,0,0,0,1,113,114,82,5
138,0,170.5,118.2,187.9,11.2,2,0,0,0,87,116,111,7
79,0,205.7,214.5,226.1,6.7,1,0,0,0,123,108,106,18
95,0,165.5,286.2,198.9,11.5,1,1,1,0,84,112,89,2
127,0,221,160.7,233.1,6.8,2,0,0,0,100,113,96,4
137,0,242.1,191,218.6,14.7,3,0,0,0,118,93,50,2
97,0,151.6,155.4,240,14.7,1,0,0,0,107,96,112,4
149,0,176.2,145,249.5,5.7,0,0,1,0,87,81,92,4
117,22,196,322.7,225.6,3.7,1,0,1,1,82,82,120,5
84,0,159.5,247.1,187.9,7.2,2,0,0,0,125,90,82,4
137,0,230.2,220.4,204.7,10.7,4,0,0,0,113,79,111,7
99,0,146.7,274,321.3,8.9,3,0,0,0,64,99,98,1
54,0,210.5,204.5,127.8,8.5,1,0,0,0,102,83,53,5
85,0,102,270.2,148.2,10.7,1,0,0,0,95,139,105,3
150,0,126,238.5,285.1,10.2,3,0,0,0,99,73,100,6
43,0,168.4,243.8,214.7,11.1,1,0,0,0,125,89,102,2
35,0,105.6,258.2,213.1,8.7,0,0,0,0,129,129,77,3
98,0,206.5,176.2,232.8,12.4,5,0,0,0,92,152,115,5
112,0,217.1,205.2,185.7,9.4,2,0,0,0,76,100,91,3
16,0,229.6,205.7,166.2,10.8,0,1,0,0,78,108,91,2
