prime_days,loot_collected,day_stream_hr,evennig_stream_hr,night_stream_hr,bits_donated,cs_contacts,churn,prime_student,used_sub,day_sessions,evennig_sessions,night_sessions,follows
11.6,4,53.72,35.64,33.26,12,2,0,0,1,9,15,11,2
7.4,4,38.74,49.22,27.6,15,2,0,0,1,10,10,10,2
14.9,3,36.14,37.56,53.1,13,3,0,0,1,10,7,6,2
3.8,0,26.24,32.58,31.8,9,2,0,0,0,10,10,11,3
4,5,29.62,33.9,42.82,7,2,0,0,1,8,9,11,3
4.3,0,50.3,42.56,31.56,10,0,0,1,0,11,11,7,2
11.3,0,25.04,41.28,25.86,9,0,0,1,0,10,12,14,4
12.6,0,42.32,43.38,30.7,8,1,0,0,0,7,8,6,1
15,0,35.78,33.82,29.72,14,4,1,0,0,11,11,10,2
13.8,0,48.36,34.1,59.06,12,3,0,0,0,10,9,11,4
16.2,5,44.98,37.64,50.92,13,0,0,0,1,10,9,7,1
14.7,0,49.72,29.78,34.5,8,3,0,0,0,9,9,11,2
9,0,40.68,45.34,30.48,8,1,0,0,0,15,12,11,2
8.5,0,47.16,31.44,37.64,12,0,0,0,0,11,10,10,2
5,0,31.42,44.66,36.28,7,1,0,0,0,9,8,12,1
8.2,0,60.06,36.2,54.02,12,0,1,0,0,11,10,8,2
14.4,0,12.32,15.42,34.6,9,4,1,0,0,12,9,10,4
4.6,0,42.82,32.88,35.5,9,2,0,0,0,8,11,12,2
7,0,34.04,31.04,45.72,15,1,0,0,0,10,11,8,1
14.4,0,40.22,60.7,44.8,14,1,0,0,0,10,8,12,1
11.6,0,43.08,40.96,55.7,13,3,0,1,0,11,8,11,3
5.5,3,33.12,27.22,35.14,11,3,0,0,1,13,10,9,1
7,3,49.9,51.94,44.54,10,1,0,0,1,11,10,7,2
10.6,0,42.12,49.84,38.28,13,2,1,0,0,10,9,9,1
12.8,3,35.86,45.18,64.6,9,0,0,0,1,11,9,8,4
9.4,0,31.58,31,37.92,8,4,1,0,0,11,11,9,3
11.1,0,42.86,41.7,36.48,12,1,0,0,0,12,8,10,1
7.4,4,30.82,24.68,40.42,11,2,0,0,1,11,9,6,5
12.8,0,47.58,49.52,41.78,14,1,1,0,0,13,10,7,2
8.2,0,28.78,38.98,21.92,12,1,0,0,0,7,11,10,1
15.5,0,40.68,38.18,39.2,9,0,1,0,0,10,11,12,2
8,0,24.86,34.6,50.64,8,1,0,0,0,10,11,7,5
7.8,0,50.58,35.68,52.78,10,3,0,0,0,10,12,11,4
9,0,35.82,38.12,25.54,11,3,0,0,0,8,9,10,4
10.4,0,55.68,16.2,32.64,10,1,0,0,0,11,12,14,3
7.3,0,32.02,42.66,34.82,13,0,0,0,0,11,8,8,2
9.9,0,39.64,41.46,38.18,9,4,0,0,0,9,8,12,2
12,0,42.42,41.88,33.44,6,1,1,0,0,14,11,10,3
7.7,0,50.36,41.14,55.04,10,2,1,0,0,8,13,11,4
9.8,3,32.24,50.44,32.04,5,4,0,0,1,12,9,10,4
10.8,0,35.66,37.8,25.82,15,0,0,0,0,14,8,11,3
13.5,0,30.34,23.8,36,11,0,0,0,0,9,11,10,3
9.5,0,27,36.72,49.06,13,1,0,0,0,10,11,11,5
12.2,0,34.1,34.74,49.72,12,1,0,0,0,10,11,8,1
9.5,0,47.62,37.44,38,12,4,0,0,0,7,10,12,2
3.6,3,56.28,40.44,37.44,9,2,0,0,1,11,8,12,3
9.3,3,23.58,32.9,43.4,10,1,0,0,1,14,12,9,2
14.1,4,29.72,26.22,43.88,11,1,0,0,1,10,10,15,1
15.7,0,45.96,29.58,48.28,10,3,0,0,0,9,13,11,4
12,0,33,63.44,23.84,9,1,0,0,0,10,9,9,4
10.3,0,37,44.66,44.56,13,2,0,0,0,12,10,10,1
9.8,0,32.2,38.18,45.54,13,4,0,0,0,12,12,12,2
12.5,0,25.34,41.2,49.56,14,1,0,0,0,11,9,12,4
6.3,0,11.78,33.92,42.28,10,1,0,0,0,13,6,9,2
3.6,5,39.36,50.98,27.66,20,0,1,1,1,9,13,13,3
6.4,0,32.52,30.46,11.5,15,1,0,0,0,9,11,13,2
7.4,0,56.5,43.98,34,10,1,1,0,0,12,5,12,2
11.2,4,22.74,31.5,35.52,10,2,0,0,1,12,9,12,2
9.7,0,47.96,42.96,28.66,9,2,0,0,0,13,12,9,3
4.6,0,42.04,45.46,40.02,14,1,0,0,0,10,8,12,4
4.1,3,42.76,28.36,28.44,8,0,0,0,1,11,9,13,2
12.1,0,38.14,36.7,44.16,10,3,0,0,0,11,12,11,2
19.3,0,34.18,26.46,22.58,12,1,0,0,0,13,10,9,2
13,0,30.84,22.04,45.48,10,2,0,0,0,12,10,12,3
8.5,0,40.28,45.88,50.5,12,1,0,0,0,6,11,11,2
16.2,0,14.14,31.5,30.96,10,4,1,0,0,11,9,9,2
6.1,3,37.5,29.32,45.14,7,4,1,0,1,13,11,13,3
9.2,0,18.34,38.74,35,10,2,0,0,0,9,13,9,2
13.1,4,42.84,32.34,52.94,10,3,0,0,1,12,12,11,2
9,0,29.1,43.54,29.38,11,3,0,0,0,10,12,13,1
7.5,0,33.26,31.64,51.34,7,1,0,0,0,13,9,8,3
7.8,0,46.2,46.08,52.28,10,1,0,0,0,12,14,12,2
8.2,0,40.06,40.24,41.22,8,4,0,0,0,10,11,6,1
16.3,0,39.4,40.52,41.28,10,1,0,0,0,11,13,8,5
9.1,0,25.98,34.66,49.44,12,3,0,1,0,12,9,13,2
7.5,3,35.16,43.5,47.5,6,5,0,0,1,10,11,14,2
9.1,0,40.62,42.02,39.12,12,3,0,0,0,11,12,13,2
12.7,4,36.64,25.36,52.66,12,1,0,0,1,12,8,8,4
11.3,3,41,30.4,31.72,11,2,0,0,1,11,6,6,3
11,0,29.7,55.28,38.72,13,1,0,0,0,12,9,12,2
12,4,40.06,44.08,50.76,11,0,0,0,1,7,10,12,2
15.7,3,38.52,39.1,21.94,7,3,0,0,1,11,8,14,3
10.3,0,49.3,39.1,40.1,12,1,0,0,0,5,9,10,2
11.7,0,33.42,35.5,49.88,15,2,1,1,0,9,9,14,4
14,0,46.38,32.02,22.08,15,3,0,0,0,11,10,10,3
12.7,0,29.34,40.7,40.68,14,1,0,0,0,10,8,11,2
8.3,0,54.3,43.26,24.22,12,1,0,1,0,9,13,11,2
12.1,0,36.3,43.68,32.32,9,1,0,0,0,13,10,11,3
14.5,5,51.54,32.42,57.38,12,2,0,0,1,10,10,9,2
11.3,0,38.76,44.28,34.46,11,1,0,0,0,10,13,7,3
11.7,0,20.56,41.34,59.8,11,1,0,0,0,12,10,11,4
6.5,0,37.58,31.52,45.46,8,1,0,0,0,12,12,9,3
5.6,0,45.2,49.7,28.1,7,1,0,0,0,12,12,15,6
9.6,0,52.08,29.2,53.9,12,5,0,0,0,12,5,9,2
15.1,0,35.74,58.42,53.18,10,0,0,0,0,12,14,11,2
8.3,0,67.48,45.48,30.78,16,0,1,0,0,12,12,12,4
13.9,3,31.52,49.4,51.84,14,0,0,0,1,13,10,12,1
0.6,0,36.72,51.34,35.72,11,1,0,0,0,12,8,8,1
11.5,3,28.42,36.68,32.96,10,1,0,0,1,13,13,12,2
8.7,0,27.26,34.44,27.5,8,0,0,0,0,10,11,11,3
14.1,0,43.42,48.3,50.7,12,0,0,0,0,11,12,11,3
14.1,4,37.5,48.28,45.9,11,3,0,0,1,10,12,11,3
6.2,0,19.78,27.08,47.32,13,1,0,0,0,11,13,9,1
14.6,0,41.26,29.72,33.44,7,1,0,0,0,16,9,10,2
9.2,4,48.62,42.76,45.74,13,2,0,0,1,10,10,11,1
18.5,4,37.96,32.66,52.96,8,1,0,0,1,13,14,13,2
14.8,0,40.4,48.64,52.26,11,1,0,0,0,11,13,9,2
9.4,4,34.02,38.66,21.18,13,1,0,0,1,13,12,8,2
3.2,0,46.18,37.48,30.8,7,0,0,0,0,9,9,6,1
6.8,0,47.42,44.7,19.48,14,1,0,0,0,11,11,8,1
6.4,3,36.42,33.94,32.94,11,2,0,0,1,10,10,9,3
2.5,0,23.86,42.3,53.78,11,3,0,0,0,9,11,9,2
6.5,0,23.36,35.78,36.48,15,1,0,0,0,9,10,15,1
17.9,0,43.84,29.88,48.94,7,0,0,0,0,10,13,11,3
9.4,0,50.52,33.8,34.18,12,2,0,0,0,11,13,11,4
6.2,0,29.42,38.08,39.04,13,0,0,0,0,10,11,12,2
12.7,0,40.42,45.88,39.04,12,2,0,0,0,11,9,12,2
11.6,0,34.7,38.82,41.6,17,3,0,0,0,10,8,12,5
7,0,46.42,58.46,40.24,0,3,0,0,0,13,12,12,0
9.4,3,39.42,42.9,56.44,10,4,0,1,1,13,14,11,3
12.6,0,11.64,27.74,27.36,12,5,1,0,0,10,12,10,1
6.7,4,23.12,47.54,33.98,10,2,0,0,1,12,10,11,6
1.9,0,37.22,50.86,42.8,15,2,0,0,0,10,6,13,4
17,0,51.98,49,26.88,9,3,0,1,0,7,13,13,2
7.3,0,42.86,53.7,48.24,11,1,0,0,0,15,14,10,7
10.6,0,31.74,12.86,39.7,11,1,0,0,0,8,14,11,2
9.3,0,54.32,45.88,15.46,11,2,0,0,0,8,11,13,2
16.4,0,32.12,32.64,37.42,9,1,0,0,0,12,13,12,2
5.1,0,46.48,37.48,46.24,10,1,0,0,0,11,10,11,2
10.7,0,26.76,36.1,22.44,9,0,0,0,0,9,10,12,2
13,0,35.38,18.14,47.6,10,1,0,0,0,11,11,7,1
8,0,41.98,39.02,41.64,9,2,0,0,0,8,8,12,2
9.4,0,27.5,40.64,30,14,0,0,0,0,12,9,14,1
11.8,3,57.9,33.32,23.82,10,1,0,0,1,6,12,9,2
11.7,3,39.62,35.4,36.1,7,1,0,0,1,9,9,10,3
7.8,0,29.94,36.44,52.3,10,0,0,0,0,12,12,13,4
20.8,0,65.3,35.26,36.34,11,2,1,0,0,7,12,11,3
13.1,3,58.58,39.94,51.06,14,4,1,1,1,11,10,13,4
6.3,0,16.6,35.4,49.14,13,0,0,0,0,7,11,9,2
5.3,3,29.14,44.1,49.98,14,3,0,0,1,15,14,10,3
6.2,0,36.46,65.64,49,12,2,0,0,0,11,10,14,1
9.7,0,43.6,36.8,48.1,7,3,0,0,0,9,10,11,4
10.5,0,28.12,35.72,43.4,7,2,0,0,0,11,6,9,2
15.7,0,30.54,51.5,39.62,10,1,0,0,0,11,8,10,2
6.6,4,21.34,41.96,38.08,13,1,0,0,1,8,8,12,1
12.2,0,48.76,16.78,35.96,14,2,0,0,0,10,8,9,4
3.8,0,38.88,37.34,44.66,11,3,0,0,0,10,10,9,3
10.6,0,42.78,30.38,52.02,13,3,0,0,0,10,7,13,3
9.9,0,43.44,49.34,45.22,16,3,0,0,0,12,9,9,4
9.9,0,48.22,31.12,37.64,12,1,0,0,0,8,10,11,5
14.4,0,40.7,49.52,38.86,12,0,0,1,0,10,11,10,6
8.2,3,31.04,48.9,24.48,11,1,0,0,1,14,11,7,2
8.6,4,33.52,22.6,49.38,13,1,0,0,1,14,12,13,3
7,0,45.34,45.62,14.64,18,2,1,1,0,10,12,10,2
9.3,0,35.86,35.72,45.04,12,3,0,0,0,10,10,14,3
9.3,0,30.28,37.28,34.5,11,0,0,0,0,9,8,12,2
12,0,36,44.84,53.08,5,3,0,0,0,8,9,10,4
13.6,0,50.04,53.42,30.2,13,1,1,0,0,13,12,12,1
10.6,0,44.6,22.02,37.74,8,0,0,0,0,13,10,11,6
8.1,0,36.72,30.52,42.44,13,3,0,0,0,12,10,10,3
12.7,3,33.2,34.9,48.98,11,1,0,0,1,12,11,7,3
6.5,0,27.22,54.58,44.04,5,1,0,0,0,12,10,11,1
3.5,0,29.86,48.44,34.86,9,2,0,0,0,12,13,11,3
8.8,0,13.08,33.64,47.2,14,2,0,0,0,10,8,12,1
6.5,0,42.68,46.9,50.02,3,1,0,0,0,12,10,13,2
12.3,0,41.38,48.94,44.3,8,3,0,0,0,9,8,14,1
12.6,3,37.24,37.92,15.3,10,2,0,0,1,8,9,14,2
10.4,3,56.04,44.1,27.38,14,4,0,0,1,14,10,11,2
4.5,3,39.32,62.64,32.66,12,0,0,0,1,9,10,11,2
9.3,0,62.4,25.88,43.52,11,0,1,1,0,11,10,8,1
6.3,4,39.8,58.26,39.52,11,1,0,1,1,11,12,10,3
10,0,40.62,43.4,36.18,14,3,0,0,0,10,13,13,1
5.3,0,33.76,44.06,30.86,11,0,0,0,0,10,9,12,1
9.2,0,34.62,48.06,46.64,9,1,0,1,0,14,11,12,3
13.9,0,26.88,42.26,38.72,11,5,1,0,0,11,10,13,1
11,4,40.52,23.76,46.98,9,2,0,0,1,11,13,10,5
11,0,14.9,40.16,38.44,10,3,0,0,0,12,10,11,4
21.5,0,16.72,24.18,45.32,11,0,0,0,0,15,10,11,5
7.3,0,38.44,33.72,27.96,10,1,0,0,0,9,12,9,3
13.8,0,44.04,17.66,39.06,13,0,0,0,0,9,13,8,3
13.7,0,27.02,26.82,44.62,13,2,1,1,0,10,11,9,1
3.6,0,50.68,36.48,55.16,9,1,0,0,0,8,16,11,1
8.5,0,45,35.38,38.86,8,3,0,0,0,9,7,11,1
10.8,0,39.7,53.56,70.98,10,0,1,0,0,10,6,8,2
2.2,0,22.06,33.3,40.46,10,0,0,0,0,11,10,10,3
10.7,4,12,20.44,52.36,12,0,0,0,1,11,8,11,2
5.1,0,42.96,29.94,56.68,11,0,0,0,0,10,6,7,3
9.4,0,36.36,40.48,49.18,10,4,0,0,0,9,10,10,1
11.9,3,30.8,55.6,45.68,12,2,0,0,1,12,14,12,2
3.3,3,31.48,23.58,55.84,14,4,1,0,1,10,8,8,6
10.6,0,41.58,34.4,38.36,15,4,0,0,0,10,11,15,4
8.2,0,41.4,46.58,34.48,10,3,0,0,0,9,9,11,4
8.6,5,23.8,46,47.38,10,0,0,0,1,11,14,6,2
9.7,0,28.74,54.6,35.66,11,0,0,1,0,12,9,9,2
10.6,4,33.18,43.3,34.62,15,4,0,0,1,13,10,9,4
10.8,0,27.72,34.46,46.32,10,1,0,0,0,13,12,10,2
11.4,0,16.94,49.98,38.68,15,1,0,0,0,12,9,10,4
9.2,0,12.52,36.12,44.34,11,1,1,1,0,12,13,8,1
5.9,0,31.04,47.06,33.88,9,1,0,0,0,8,13,8,2
2.4,3,32.98,41.86,46.24,7,1,0,0,1,11,11,6,5
15.1,0,26.9,28.62,44.78,16,1,0,0,0,9,12,7,1
11.7,0,28.66,42.26,37.04,12,1,0,0,0,11,11,10,2
7.8,0,33.66,44.24,48.2,13,1,0,0,0,11,8,14,1
15.5,0,52.48,38.92,29.3,9,2,0,0,0,6,12,9,3
11.4,3,41.24,52,58.32,12,1,0,0,1,8,10,9,3
11.4,3,45.16,38.6,46.48,9,4,0,0,1,10,12,10,5
11.9,0,27.66,34.1,52.78,14,3,0,0,0,9,8,10,3
6.4,5,18.88,27.24,29.48,5,0,0,0,1,11,11,9,2
11.8,0,32,35.08,36.96,10,2,0,1,0,13,10,10,2
10.1,0,41.32,44.98,49.98,15,0,0,0,0,11,12,10,2
11.7,0,26.94,36,40.18,8,1,0,0,0,13,9,11,2
4.9,3,42.88,47.04,41.24,8,3,0,0,1,8,10,11,7
13.9,0,38.56,46.88,40.64,13,3,0,0,0,11,10,11,2
9.2,3,30.22,38.96,47.84,10,1,0,0,1,9,8,12,2
8.3,0,44.28,46.36,24.5,10,3,0,0,0,11,11,10,3
14.8,0,43.78,41.6,40.66,12,0,0,1,0,9,9,10,2
14.4,5,37.96,24.68,42.84,7,2,1,0,1,10,7,11,1
13.1,3,38.54,45.18,50.84,11,2,0,0,1,9,11,6,3
14.6,0,40.88,43.82,44.54,11,3,0,1,0,14,9,12,3
14.3,0,34.46,34.8,37.64,13,2,0,0,0,10,11,12,2
8.1,0,39.68,42.18,38.66,11,2,0,0,0,10,11,8,3
4.8,4,42.34,31.98,28.82,13,1,0,0,1,12,9,8,1
8.6,3,44.32,57.68,48.06,9,1,0,0,1,8,10,11,1
7.1,0,39.58,36.3,56.28,7,3,0,0,0,11,11,6,3
14.5,3,29.5,35.14,50.42,16,2,0,0,1,9,11,11,2
13.7,0,41.28,25.6,38.9,9,2,0,0,0,13,11,9,3
13.7,0,41.18,41.86,57.98,15,2,0,0,0,9,9,9,2
16.7,0,41.52,26.48,51.04,15,0,0,0,0,9,7,10,3
8.9,0,60.78,52.18,62.42,6,1,1,0,0,10,12,9,2
19.9,4,46.12,43.88,59.86,8,0,0,0,1,13,10,10,1
13.2,0,19.9,25.82,25.02,10,0,0,0,0,11,8,13,2
9.4,0,35.42,38.8,29.34,6,1,0,0,0,12,12,11,2
9.6,4,34.54,24.02,43.22,11,5,1,0,1,10,12,9,3
9.6,2,34.54,26.68,51.9,10,1,0,0,1,9,12,7,2
16.6,0,40.84,35.98,43.36,10,1,0,0,0,12,16,11,3
7.4,0,17.14,49.54,28.48,11,2,0,0,0,9,7,9,3
3.6,0,31.52,36.86,48.08,12,0,0,0,0,12,6,10,1
11.3,0,43.1,43.74,41.42,7,4,0,0,0,13,12,10,5
9.4,0,36.3,39.98,57.54,7,1,0,0,0,10,9,12,3
6.7,0,34.34,22.08,39.08,12,2,0,0,0,8,9,12,2
12.7,0,53.32,52.96,41.44,6,1,1,0,0,11,17,12,1
12.1,0,34.08,70.1,59.4,12,0,1,0,0,11,7,9,2
15.8,0,31.6,58.5,48.22,10,1,0,0,0,11,12,9,2
13.6,0,18.4,50.72,42.82,11,1,0,0,0,12,8,9,5
19.6,0,46.8,49.9,34.62,10,2,0,0,0,11,12,7,3
11.3,0,54.42,53.7,42.76,9,1,1,0,0,12,12,11,5
12.2,0,59.28,42.96,26.78,12,4,1,0,0,10,9,11,2
11.2,0,38.88,38.06,36.68,12,0,0,0,0,11,9,11,1
20.9,0,45.44,51.68,36.7,9,3,0,0,0,13,10,8,2
6.2,0,49.74,44,53.14,14,1,1,0,0,11,12,8,1
11,4,47.26,39.18,36.7,10,1,0,0,1,11,12,9,3
1.6,0,41.12,33.9,44.02,11,0,0,0,0,7,10,7,2
7.3,0,18.82,56.06,41,10,0,0,0,0,14,13,8,2
12.8,0,25.04,41.08,50.88,19,0,0,0,0,10,11,12,1
3.9,0,12.08,61.24,24.78,13,1,0,0,0,16,12,5,2
10.3,3,24.2,54.08,32.1,8,2,0,0,1,11,10,8,2
11.9,3,23.56,51.36,29.52,8,3,0,0,1,7,12,8,2
17.3,3,46.48,42.38,54.6,5,3,0,0,1,10,12,11,3
12.8,4,44.7,37.76,30.98,10,2,1,1,1,9,8,11,1
8.6,0,35.26,51.84,57.48,7,0,0,0,0,8,10,8,2
11.4,4,25.04,35.56,46.48,13,1,0,0,1,8,11,9,2
10.4,0,27.74,51.38,46.98,10,0,0,0,0,11,12,8,2
14.8,0,17.26,49.32,50.32,12,1,0,0,0,14,10,10,2
12.9,0,41.4,30.98,49.02,14,3,0,0,0,10,13,12,3
10,3,11.76,43.9,30.46,8,0,0,0,1,11,11,12,2
12.1,4,13.74,41.84,39.48,12,1,0,0,1,10,7,5,2
14.3,4,47.84,47.1,31.26,10,1,0,0,1,11,12,10,2
7.6,0,39.66,43.42,37.68,13,0,0,0,0,13,9,10,2
15.8,0,41.04,48.12,15.94,15,0,0,0,0,10,8,11,6
11.6,0,38.42,62.58,26.04,8,3,0,0,0,10,14,10,1
5.4,0,54.52,49.74,39.48,10,1,1,0,0,9,8,12,1
8.6,0,25.66,39.42,27.68,13,7,1,0,0,13,10,16,3
10.8,0,33.92,52.82,41.26,10,0,0,0,0,10,9,8,2
6.6,0,40.26,30.56,46.64,8,1,0,0,0,10,7,11,2
15.1,2,42.94,27.7,33.82,9,1,0,0,1,10,9,5,2
9.9,0,33.84,54.3,34.04,11,0,0,0,0,7,8,11,1
5.5,0,38.82,35.32,60.56,7,2,0,0,0,13,11,14,4
7.7,0,46.76,53.3,42.54,8,2,0,0,0,11,10,11,2
7.8,0,45.02,39.84,35.1,15,0,0,0,0,7,13,11,1
8.9,0,42.6,35.32,52.52,10,1,1,0,0,7,8,13,1
10.1,0,36.78,51.18,55,11,1,0,0,0,12,11,15,6
4.4,4,44.36,32.34,45.54,14,0,0,0,1,11,9,7,4
9.8,3,12.92,35.22,48.96,0,2,0,0,1,10,9,9,0
6.4,4,30.92,16.68,33.18,14,1,0,0,1,10,11,10,2
14.1,0,52.04,35.84,27,8,3,0,0,0,14,12,12,4
8.1,4,32.32,24.6,52.26,13,1,0,0,1,12,9,11,3
16.2,0,44.12,31.04,37.34,11,1,0,0,0,12,13,9,6
8.3,5,31.18,32.46,25.52,14,3,0,0,1,13,11,11,3
10,0,21.4,21.14,48.62,13,4,1,0,0,7,7,8,2
5.9,0,36.5,40.94,45.98,12,4,0,0,0,11,10,10,4
17.9,4,44.02,46.86,47.46,11,4,0,1,1,8,8,9,2
7.9,0,30.44,35.44,19.28,6,1,0,0,0,12,14,9,2
11.7,0,36.3,41.02,40.8,15,2,0,0,0,10,9,9,5
6.4,0,47.24,43.72,38.82,14,2,1,1,0,8,9,10,1
3.1,0,33.22,15.86,42.74,13,1,0,0,0,11,10,10,1
12.4,0,48.92,37.76,41.2,12,1,0,1,0,9,8,12,2
12.2,3,26.84,45.46,24.48,9,2,0,0,1,9,14,10,1
3.7,4,29.94,42.22,22.86,10,1,0,1,1,13,8,9,2
9,3,30.02,52.94,35.68,6,1,0,0,1,11,11,10,2
15.9,0,51.42,62.44,36.6,9,1,1,1,0,6,13,9,3
14.8,0,24.88,35.94,50.6,12,0,0,0,0,9,9,10,3
3.9,4,28.34,46.46,44.42,12,1,0,0,1,13,12,14,3
7.7,0,46,20.64,61.92,12,2,0,0,0,9,14,14,2
19.4,0,32.46,42.74,38.42,11,0,0,0,0,9,12,9,1
15.4,0,70.16,43.3,50.78,11,1,1,0,0,8,10,10,5
11.2,0,38.66,52.82,25.72,10,4,0,0,0,10,13,12,2
4.5,0,15.64,50.68,51,18,1,0,0,0,13,11,10,2
13.2,0,16.68,46.44,29.34,8,1,0,0,0,11,14,12,3
12.8,0,39.12,53.56,32.98,16,0,0,0,0,10,12,8,1
13.5,0,40.36,45,40.88,11,1,0,0,0,9,12,9,3
5.6,0,39.4,44.56,45.06,11,2,0,0,0,11,11,10,3
15.1,0,43.6,22.88,53.84,13,0,1,1,0,6,9,10,1
3.2,0,32.96,45.98,33.46,15,2,0,0,0,10,10,11,1
9,0,35.84,42.14,55.38,10,2,0,0,0,8,10,6,3
8.7,3,42.8,36,26.9,11,0,0,0,1,12,12,9,3
13.8,0,34.1,23.64,37.58,12,2,0,0,0,9,12,12,4
7.9,0,41.14,42.9,45.22,7,1,0,0,0,13,11,11,9
9.5,0,33.1,57.24,39.78,12,1,1,1,0,9,12,9,1
12.7,0,44.2,32.14,46.62,7,2,0,0,0,10,12,10,2
13.7,0,48.42,38.2,43.72,15,3,0,0,0,12,10,5,1
9.7,0,30.32,31.08,48,15,1,0,0,0,11,10,12,2
14.9,0,35.24,29,49.9,6,0,0,1,0,9,9,10,2
11.7,3,39.2,64.54,45.12,4,1,0,1,1,9,9,12,3
8.4,0,31.9,49.42,37.58,8,2,0,0,0,13,9,9,2
13.7,0,46.04,44.08,40.94,11,4,0,0,0,12,8,12,4
9.9,0,29.34,54.8,64.26,9,3,0,0,0,7,10,10,1
5.4,0,42.1,40.9,25.56,9,1,0,0,0,11,9,6,3
8.5,0,20.4,54.04,29.64,11,1,0,0,0,10,14,11,2
